Aaron, KY;368.128;-851.991;
Aaronsburg, PA;408.987;-774.562;
Abbeville, AL;315.755;-85.279;
Abbeville, GA;319.648;-833.068;
Abbeville, LA;299.466;-922.416;
Abbeville, LA;300.324;-921.767;
Abbeville, MS;344.719;-894.475;
Abbeville, SC;341.819;-823.785;
Abbot, ME;451.841;-692.334;
Abbotsford, WI;449.641;-902.994;
Abbott, TX;318.916;-970.671;
Abbottstown, PA;398.881;-769.931;
Abbyville, KS;379.626;-982.071;
Abell, MD;382.471;-767.481;
Abercrombie, ND;464.479;-967.278;
Aberdeen Proving Ground, MD;394.771;-761.208;
Aberdeen, ID;430.049;-112.84;
Aberdeen, KY;372.796;-866.702;
Aberdeen, MD;395.109;-761.805;
Aberdeen, MS;338.284;-88.538;
Aberdeen, NC;351.216;-79.445;
Aberdeen, OH;386.709;-837.637;
Aberdeen, SD;454.661;-984.856;
Aberdeen, SD;455.896;-98.352;
Aberdeen, WA;469.843;-1.237.963;
Abernant, AL;33.311;-871.898;
Abernathy, TX;33.85;-1.018.611;
Abie, NE;413.479;-969.563;
Abilene, KS;389.371;-972.063;
Abilene, TX;324.682;-997.182;
Abilene, TX;324.178;-997.214;
Abilene, TX;324.679;-997.619;
Abilene, TX;324.288;-997.952;
Abilene, TX;32.432;-997.724;
Abilene, TX;32.392;-997.746;
Abilene, TX;323.021;-998.907;
Abilene, TX;323.021;-998.907;
Abilene, TX;324.751;-997.348;
Abilene, TX;324.665;-997.117;
Abingdon, IL;408.023;-904.009;
Abingdon, MD;394.744;-762.997;
Abingdon, VA;366.916;-82.02;
Abingdon, VA;366.673;-819.648;
Abingdon, VA;366.909;-819.708;
Abington, CT;418.473;-720.253;
Abington, MA;421.167;-709.543;
Abington, PA;401.238;-751.148;
Abiquiu, NM;361.769;-1.062.449;
Abita Springs, LA;304.837;-900.041;
Abrams, WI;447.869;-880.571;
Absaraka, ND;468.597;-972.146;
Absarokee, MT;455.154;-1.094.692;
Absecon, NJ;394.891;-746.803;
Absecon, NJ;394.201;-744.998;
Acampo, CA;382.004;-1.212.186;
Accident, MD;396.355;-793.085;
Accokeek, MD;38.672;-770.162;
Accomac, VA;377.159;-756.803;
Accord, MA;419.705;-707.014;
Accord, NY;418.083;-742.353;
Accoville, WV;378.332;-819.024;
Ace, TX;305.209;-948.221;
Achille, OK;338.396;-963.648;
Achilles, VA;372.882;-76.426;
Ackerly, TX;325.273;-101.716;
Ackerman, MS;333.517;-892.014;
Ackermanville, PA;406.934;-754.712;
Ackley, IA;425.527;-930.608;
Ackworth, IA;413.737;-933.767;
Acme, LA;313.016;-918.216;
Acme, MI;447.894;-854.884;
Acme, PA;401.201;-794.051;
Acme, WA;486.752;-1.221.914;
Acosta, PA;40.113;-790.702;
Acra, NY;423.304;-740.857;
Acton, CA;344.835;-1.181.959;
Acton, MA;424.751;-714.483;
Acton, ME;435.494;-709.307;
Acton, MT;459.291;-1.086.888;
Acushnet, MA;416.997;-709.087;
Acworth, GA;340.756;-846.477;
Acworth, GA;340.707;-845.894;
Acworth, NH;43.196;-723.001;
Ada, KS;391.738;-978.785;
Ada, MI;429.566;-85.481;
Ada, MI;430.314;-855.503;
Ada, MI;430.314;-855.503;
Ada, MI;430.314;-855.503;
Ada, MN;473.253;-965.973;
Ada, OH;407.709;-838.154;
Ada, OK;34.78;-966.924;
Ada, OK;347.353;-966.693;
Adah, PA;398.831;-798.908;
Adair, IA;415.137;-946.444;
Adair, IL;403.852;-905.037;
Adair, OK;364.115;-952.732;
Adairsville, GA;343.595;-849.176;
Adairville, KY;366.914;-868.585;
Adak, AK;542.402;-1.767.874;
Adamant, VT;443.575;-725.046;
Adams Basin, NY;431.953;-778.559;
Adams Center, NY;438.631;-760.042;
Adams Run, SC;32.779;-803.288;
Adams, KY;380.741;-827.447;
Adams, MA;426.223;-731.172;
Adams, MN;435.591;-927.305;
Adams, ND;484.223;-980.867;
Adams, NE;404.576;-965.396;
Adams, NY;439.602;-759.056;
Adams, OK;36.755;-101.078;
Adams, OR;457.497;-1.186.176;
Adams, TN;365.582;-871.226;
Adams, WI;438.967;-898.219;
Adamsburg, PA;403.126;-796.565;
Adamstown, MD;39.291;-774.552;
Adamstown, PA;402.423;-760.577;
Adamsville, AL;335.884;-869.597;
Adamsville, OH;400.793;-818.718;
Adamsville, PA;415.067;-803.765;
Adamsville, RI;415.301;-712.841;
Adamsville, TN;352.556;-884.134;
Addieville, IL;383.815;-895.794;
Addington, OK;342.459;-978.922;
Addis, LA;303.557;-912.613;
Addison, AL;342.056;-871.948;
Addison, IL;419.335;-880.054;
Addison, IL;418.397;-880.887;
Addison, ME;44.583;-677.146;
Addison, MI;420.036;-843.122;
Addison, NY;420.982;-77.266;
Addison, PA;397.524;-793.308;
Addison, TX;329.637;-968.401;
Addy, WA;483.364;-1.179.579;
Addyston, OH;391.374;-847.096;
Adel, GA;311.251;-834.213;
Adel, IA;416.221;-94.038;
Adel, OR;421.487;-1.198.833;
Adelanto, CA;345.841;-1.174.242;
Adell, WI;436.151;-880.254;
Adelphi, OH;394.665;-827.547;
Adelphia, NJ;403.027;-742.493;
Adena, OH;402.126;-808.815;
Adger, AL;334.343;-871.675;
Adin, CA;412.175;-1.209.432;
Adirondack, NY;437.165;-737.825;
Adkins, TX;293.805;-98.265;
Admire, KS;386.393;-961.017;
Adna, WA;465.713;-1.232.984;
Adolph, MN;476.404;-924.428;
Adolphus, KY;366.775;-862.636;
Adona, AR;35.047;-929.033;
Adrian, GA;325.635;-825.695;
Adrian, IL;404.161;-912.058;
Adrian, MI;419.005;-840.446;
Adrian, MN;436.197;-959.273;
Adrian, MO;384.125;-943.683;
Adrian, OH;410.907;-833.654;
Adrian, OR;436.537;-1.170.602;
Adrian, PA;409.049;-795.074;
Adrian, TX;352.758;-102.697;
Adrian, WV;388.993;-802.269;
Advance, IN;399.956;-866.198;
Advance, MO;370.922;-899.106;
Advance, NC;360.065;-804.463;
Advent, WV;388.249;-817.066;
Afton, IA;410.401;-94.194;
Afton, MI;453.637;-844.695;
Afton, MN;448.696;-928.234;
Afton, NY;422.417;-755.366;
Afton, OK;366.296;-949.432;
Afton, TN;362.274;-82.734;
Afton, TX;337.718;-1.008.021;
Afton, VA;379.626;-78.841;
Afton, WI;426.055;-890.704;
Afton, WY;427.128;-110.942;
Agar, SD;448.393;-1.000.712;
Agate, CO;394.203;-1.039.846;
Agate, ND;487.709;-997.727;
Agawam, MA;420.702;-726.227;
Agency, IA;409.957;-923.162;
Agency, MO;396.662;-94.717;
Agenda, KS;397.044;-974.465;
Ages Brookside, KY;368.654;-832.879;
Agness, OR;425.748;-1.240.648;
Agoura Hills, CA;337.866;-1.182.987;
Agoura Hills, CA;337.866;-1.182.987;
Agoura Hills, CA;341.429;-118.737;
Agra, KS;398.037;-991.255;
Agra, OK;35.909;-968.738;
Agua Dulce, TX;27.781;-978.551;
Aguanga, CA;334.473;-1.167.997;
Aguila, AZ;332.765;-1.121.872;
Aguilar, CO;373.933;-1.046.769;
Ah Gwah Ching, MN;468.623;-946.419;
Ahmeek, MI;472.933;-883.897;
Ahoskie, NC;362.957;-769.966;
Ahsahka, ID;465.074;-1.162.961;
Ahwahnee, CA;374.076;-1.197.233;
Aiea, HI;213.908;-1.579.332;
Aiken, SC;33.553;-817.194;
Aiken, SC;337.235;-815.907;
Aiken, SC;335.059;-816.951;
Aiken, SC;335.377;-815.999;
Aiken, SC;336.993;-816.465;
Aiken, SC;335.377;-815.999;
Aiken, TX;340.715;-1.013.031;
Ailey, GA;322.143;-824.762;
Aimwell, LA;317.619;-919.925;
Ainsworth, IA;413.202;-915.472;
Ainsworth, NE;425.403;-998.615;
Airville, PA;39.821;-764.012;
Airway Heights, WA;476.438;-117.592;
Aitkin, MN;464.799;-936.454;
Ajo, AZ;319.701;-1.118.907;
Akaska, SD;453.324;-1.001.186;
Akeley, MN;47.001;-947.234;
Akers, LA;306.124;-904.053;
Akiachak, AK;603.147;-1.631.189;
Akiak, AK;603.147;-1.631.189;
Akin, IL;379.943;-889.417;
Akron, AL;328.553;-877.219;
Akron, CO;401.803;-1.032.259;
Akron, IA;428.354;-965.224;
Akron, IN;410.389;-860.395;
Akron, MI;435.844;-835.393;
Akron, NY;430.249;-785.084;
Akron, OH;410.449;-81.52;
Akron, OH;41.092;-81.542;
Akron, OH;411.025;-815.386;
Akron, OH;410.808;-815.085;
Akron, OH;41.076;-814.644;
Akron, OH;410.479;-814.916;
Akron, OH;410.695;-815.488;
Akron, OH;410.796;-815.194;
Akron, OH;410.962;-815.123;
Akron, OH;411.075;-815.006;
Akron, OH;410.638;-81.52;
Akron, OH;410.334;-814.385;
Akron, OH;41.122;-815.685;
Akron, OH;410.408;-815.598;
Akron, OH;41.028;-814.632;
Akron, OH;410.675;-814.847;
Akron, OH;410.525;-815.291;
Akron, OH;409.791;-815.347;
Akron, OH;410.835;-815.674;
Akron, OH;411.002;-816.443;
Akron, OH;410.491;-81.581;
Akron, OH;410.764;-815.103;
Akron, OH;411.727;-814.727;
Akron, OH;41.076;-815.206;
Akron, OH;411.552;-816.314;
Akron, OH;411.287;-81.54;
Akron, OH;411.287;-81.54;
Akron, OH;411.287;-81.54;
Akron, OH;411.287;-81.54;
Akron, OH;410.716;-815.256;
Akron, OH;411.287;-81.54;
Akron, OH;411.287;-81.54;
Akron, OH;410.655;-815.203;
Akron, OH;410.655;-815.203;
Akron, PA;401.299;-763.611;
Akutan, AK;54.143;-1.657.854;
Alabama, NY;429.981;-781.848;
Alabaster, AL;331.934;-867.944;
Alachua, FL;298.135;-82.472;
Alachua, FL;29.792;-82.496;
Aladdin, WY;447.473;-1.041.931;
Alakanuk, AK;621.172;-1.632.376;
Alamance, NC;360.318;-794.856;
Alameda, CA;377.706;-1.222.648;
Alameda, CA;377.351;-1.222.431;
Alamo, CA;378.537;-1.220.229;
Alamo, GA;32.133;-827.944;
Alamo, IN;399.623;-870.506;
Alamo, ND;485.387;-1.034.734;
Alamo, NV;373.259;-115.308;
Alamo, TN;358.017;-891.765;
Alamo, TX;261.906;-981.164;
Alamogordo, NM;328.932;-1.059.485;
Alamogordo, NM;326.955;-1.056.126;
Alamosa, CO;374.703;-1.058.786;
Alamosa, CO;37.476;-1.058.818;
Alanreed, TX;352.273;-1.007.592;
Alanson, MI;454.405;-847.924;
Alapaha, GA;31.394;-832.132;
Alba, MI;449.833;-849.618;
Alba, MO;372.367;-94.418;
Alba, PA;41.772;-765.213;
Alba, TX;327.652;-955.971;
Albany, CA;37.89;-1.222.954;
Albany, GA;315.678;-841.619;
Albany, GA;315.948;-841.948;
Albany, GA;315.431;-842.196;
Albany, GA;31.55;-840.612;
Albany, GA;315.464;-840.783;
Albany, GA;315.593;-841.765;
Albany, GA;315.789;-842.118;
Albany, GA;315.911;-841.324;
Albany, GA;315.784;-842.217;
Albany, IL;417.659;-902.081;
Albany, IN;40.292;-85.258;
Albany, KY;366.857;-851.407;
Albany, LA;305.149;-905.964;
Albany, MN;456.151;-94.574;
Albany, MO;402.513;-94.327;
Albany, NY;426.149;-739.708;
Albany, NY;426.413;-737.641;
Albany, NY;427.003;-738.575;
Albany, NY;426.847;-737.354;
Albany, NY;427.198;-738.207;
Albany, NY;426.683;-737.744;
Albany, NY;42.656;-737.508;
Albany, NY;42.656;-737.964;
Albany, NY;426.417;-737.854;
Albany, NY;426.568;-737.605;
Albany, NY;42.713;-737.739;
Albany, NY;427.168;-738.104;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.929;-73.838;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.471;-737.503;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, NY;426.149;-739.708;
Albany, OH;392.097;-822.177;
Albany, OK;33.922;-961.918;
Albany, OR;446.277;-1.230.944;
Albany, OR;44.626;-123.057;
Albany, TX;32.719;-993.196;
Albany, VT;447.417;-723.646;
Albany, WI;427.155;-894.357;
Albemarle, NC;353.573;-802.044;
Albemarle, NC;352.642;-801.082;
Albers, IL;38.532;-896.202;
Albert City, IA;427.784;-949.824;
Albert Lea, MN;436.537;-933.707;
Albert, KS;384.205;-989.134;
Albert, OK;352.032;-983.574;
Alberta, AL;321.456;-87.355;
Alberta, MN;455.571;-960.498;
Alberta, VA;368.806;-779.055;
Alberton, MT;469.806;-1.144.921;
Albertson, NC;351.176;-778.515;
Albertson, NY;407.703;-736.514;
Albertville, AL;342.739;-862.064;
Albertville, AL;343.223;-861.935;
Albertville, MN;452.534;-936.469;
Albia, IA;410.287;-927.946;
Albin, WY;414.342;-1.041.505;
Albion, CA;392.131;-123.72;
Albion, IA;421.143;-929.882;
Albion, ID;423.393;-1.134.613;
Albion, IL;38.374;-880.636;
Albion, IN;413.482;-854.142;
Albion, ME;445.355;-694.683;
Albion, MI;422.581;-847.561;
Albion, NE;417.049;-979.991;
Albion, NY;432.398;-782.068;
Albion, OK;346.516;-950.924;
Albion, PA;418.947;-803.111;
Albion, PA;421.827;-800.649;
Albion, RI;419.541;-714.621;
Albion, WA;469.344;-1.174.121;
Alborn, MN;469.782;-925.579;
Albright, WV;395.701;-796.358;
Albrightsville, PA;409.748;-755.842;
Albuquerque, NM;351.996;-1.066.448;
Albuquerque, NM;350.818;-1.066.482;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;351.038;-1.066.712;
Albuquerque, NM;350.448;-1.066.893;
Albuquerque, NM;35.079;-1.066.169;
Albuquerque, NM;351.347;-1.066.427;
Albuquerque, NM;350.726;-1.065.749;
Albuquerque, NM;351.506;-106.569;
Albuquerque, NM;351.104;-1.065.781;
Albuquerque, NM;351.347;-1.065.222;
Albuquerque, NM;35.101;-1.065.183;
Albuquerque, NM;351.759;-1.066.015;
Albuquerque, NM;351.868;-1.066.652;
Albuquerque, NM;350.549;-1.065.461;
Albuquerque, NM;350.561;-1.065.506;
Albuquerque, NM;350.554;-1.065.958;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;351.421;-1.067.041;
Albuquerque, NM;350.512;-1.067.269;
Albuquerque, NM;351.787;-1.065.102;
Albuquerque, NM;350.717;-106.509;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;351.086;-1.062.439;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Albuquerque, NM;350.443;-1.066.729;
Alburg, VT;449.685;-73.281;
Alburnett, IA;421.583;-916.392;
Alburtis, PA;405.145;-756.029;
Alcalde, NM;360.647;-1.060.777;
Alcester, SD;430.047;-966.332;
Alco, AR;358.945;-923.808;
Alcoa, TN;357.852;-839.809;
Alcolu, SC;337.684;-801.788;
Alcova, WY;425.302;-106.76;
Alcove, NY;424.825;-739.367;
Alda, NE;408.569;-984.551;
Alden, IA;425.179;-933.841;
Alden, IL;423.248;-884.525;
Alden, KS;382.343;-983.112;
Alden, MI;448.779;-852.241;
Alden, MN;436.466;-935.823;
Alden, NY;428.984;-785.257;
Aldenville, PA;41.616;-752.747;
Alder Creek, NY;434.157;-752.137;
Alder, MT;451.939;-1.120.568;
Alderpoint, CA;401.676;-1.236.192;
Alderson, OK;349.045;-956.981;
Alderson, OK;34.894;-956.482;
Alderson, WV;378.439;-805.724;
Aldie, VA;389.577;-776.038;
Aldie, VA;389.604;-776.005;
Aldrich, MN;463.797;-949.364;
Aldrich, MO;375.057;-935.576;
Aledo, IL;412.008;-907.416;
Aledo, TX;327.004;-976.039;
Aleknagik, AK;592.697;-1.586.199;
Aleppo, PA;398.246;-804.579;
Alex, OK;349.612;-977.571;
Alexander City, AL;329.301;-85.805;
Alexander City, AL;329.902;-85.958;
Alexander, AR;346.313;-924.727;
Alexander, IA;428.114;-93.445;
Alexander, IL;397.517;-900.458;
Alexander, KS;38.457;-995.378;
Alexander, NC;357.064;-826.311;
Alexander, ND;477.374;-1.032.984;
Alexander, NY;429.159;-782.589;
Alexandria Bay, NY;440.746;-758.407;
Alexandria, AL;337.808;-858.924;
Alexandria, IN;402.561;-856.681;
Alexandria, KY;389.406;-843.943;
Alexandria, LA;312.885;-924.633;
Alexandria, LA;312.683;-924.242;
Alexandria, LA;313.048;-925.089;
Alexandria, LA;310.756;-924.461;
Alexandria, LA;312.034;-925.269;
Alexandria, LA;313.047;-926.196;
