20031119	20031120	 Abbeville, LA	 formation	10 minutes
20100704	20100707	 Abbeville, LA	 triangle	1m
20020709	20020709	 Abbeville, SC	 triangle	2 MINUTES
20070115	20070427	 Abbeville, SC	 light	3 seconds
19960615	20020611	 Aberdeen, MD	 disk	5min.
19720818	20050106	 Aberdeen, MD	 triangle	3 minutes
20080411	20080412	 Aberdeen, MD	 other	30 seconds
20020310	20090429	 Aberdeen, MD	 triangle	15 to 20 min
20040330	20040531	 Aberdeen, NC	 triangle	5min
20080120	20080121	 Aberdeen, NJ	 teardrop	15 minutes
20000329	20000406	 Aberdeen, OH	 changing	5.5 MIN
19561115	19990401	 Aberdeen, SD	 circle	02:00
20091231	20100103	 Aberdeen, SD	 formation	3-4 minutes
19981004	19981009	 Aberdeen, WA	 fireball	05-10 seconds
20001029	20001030	 Aberdeen, WA	 fireball	15 secs.
20011029	20011113	 Aberdeen, WA	 fireball	2minutes
20020625	20020626	 Aberdeen, WA	 circle	15seconds
0	20050822	 Aberdeen, WA	 unknown	unknown
19990930	20070418	 Aberdeen, WA	 triangle	5 minutes
19810615	20071006	 Aberdeen, WA	 cylinder	1 hour
20031015	20091023	 Aberdeen, WA	 disk	15 sec
19951014	19951017	 Abilene, KS		
20030925	20030925	 Abilene, KS	 changing	4min approx
19310601	20060203	 Abilene, KS	 disk	30 min. approx.
20020207	20020209	 Abilene, TX	 light	19:45
20020908	20020908	 Abilene, TX	 disk	5-6 sec.
19950715	20031031	 Abilene, TX	 sphere	2 hours
20041223	20050226	 Abilene, TX	 oval	5-10 seconds
20050517	20050518	 Abilene, TX	 light	20 secs
19971019	20050716	 Abilene, TX	 unknown	
20050604	20050911	 Abilene, TX	 light	few seconds
20060127	20060203	 Abilene, TX	 light	several minutes
20060120	20060122	 Abilene, TX	 light	Few Seconds
20070427	20070427	 Abilene, TX	 unknown	6 minutes
20070706	20070706	 Abilene, TX	 fireball	2 seconds
19910901	20080609	 Abilene, TX	 triangle	10 Minutes
20080106	20080729	 Abilene, TX	 light	10 seconds
20081028	20081030	 Abilene, TX	 light	2-3 minutes
20081027	20081030	 Abilene, TX	 light	2 minutes
20081021	20081030	 Abilene, TX	 changing	3 minutes?
20081029	20081030	 Abilene, TX	 light	10-15 minutes
20081023	20081030	 Abilene, TX	 formation	1/2 hour
20081030	20081030	 Abilene, TX	 light	2-3 minutes
20090131	20090201	 Abilene, TX	 unknown	few seconds
20090215	20090227	 Abilene, TX	 other	3 min
20090407	20090407	 Abilene, TX	 triangle	30 minutes
20090624	20090625	 Abilene, TX	 rectangle	18 mins
20090821	20090821	 Abilene, TX	 triangle	less than 1 minute
20100214	20100309	 Abilene, TX	 changing	30 minutes
19910715	20010522	 Abingdon, IL	 egg	4 minutes
20050127	20050129	 Abingdon, MD	 light	5 minutes
20070503	20070504	 Abingdon, MD	 triangle	several minutes
20070503	20070504	 Abingdon, MD	 triangle	several minutes
20081102	20081102	 Abingdon, MD	 fireball	5 minutes
20090919	20090919	 Abingdon, MD	 cylinder	3 minutes
19971015	19971202	 Abingdon, VA	 light	~10 minutes
20030915	20031006	 Abingdon, VA	 circle	30 minutes
20031022	20031024	 Abingdon, VA	 fireball	30 minutes
20041101	20041102	 Abingdon, VA	 unknown	7 minutes
20051223	20051224	 Abingdon, VA	 other	30 min
20080408	20080520	 Abingdon, VA	 unknown	1 min
20080623	20080625	 Abingdon, VA	 rectangle	1 hour
20010722	20010723	 Abington, MA	 light	1/2 second
20040328	20040409	 Abington, PA	 diamond	about 2 mins
20010210	20040723	 Abita Springs, LA	 triangle	3 mins
20040710	20040715	 Abita Springs, LA	 formation	Seconds
20040819	20040827	 Abita Springs, LA	 triangle	1 minute
20100331	20100401	 Ablene, TX	 light	2 Minutes
20021113	20021117	 Academy, TX	 other	1 minute
19980925	19981112	 Acampo, CA	 teardrop	2-3 sec
19890824	19990807	 Accokeek, MD	 unknown	3-5 minutes
20020908	20020908	 Accord, NY	 light	2 minutes
19770620	20040118	 Accord, NY	 triangle	20min
20051110	20051114	 Accra (Ghana),	 other	approx 5 seconds
20080728	20080811	 Achusnet, MA	 sphere	7 seconds
20100113	20100113	 Ackerman, MS	 light	2 hours
20020726	20020727	 Acme, MI	 light	60 seconds
20010404	20010515	 Acme, PA	 diamond	8 seconds
20060615	20081001	 Acme, PA	 other	5 minutes
19620515	19980425	 Acoma, NM	 cylinder	30min.
20080919	20080919	 Acton or Palmdale, CA	 triangle	still out there
19920510	20020508	 Acton to Chelmsford, MA	 triangle	30-60 mins
19990911	19990913	 Acton, CA	 fireball	3 seconds
20051205	20051208	 Acton, CA	 fireball	1 minute
20080424	20100722	 Acton, CA	 unknown	15 sec
19841001	19990312	 Acton, ME	 triangle	3 min.
20031012	20031017	 Acton/Aqua Dulce, CA	 circle	8-10seconds
20100715	20100715	 Acushnet, MA	 light	1 sec
20090601	20090601	 Acusnet, MA	 oval	
19990716	20011009	 Acworth, GA	 triangle	5-10 mins
19990615	20030726	 Acworth, GA	 light	2 hours
19950715	20030920	 Acworth, GA	 circle	20-30 seconds
20050916	20050917	 Acworth, GA	 rectangle	2 minutes
20051201	20051201	 Acworth, GA	 sphere	three minutes
20071111	20071113	 Acworth, GA	 sphere	3 minutes
20080125	20080129	 Acworth, GA	 fireball	3-4 seconds
19991115	19991115	 Ada, MI	 light	20 minutes
20090813	20100307	 Ada, MI		na
20070123	20070124	 Ada, MN	 teardrop	42 minutes
0	19990512	 Ada, OH	 other	5-10 minutes
20010105	20010108	 Ada, OK	 fireball	6 minutes
20030507	20030509	 Ada, OK	 rectangle	1-3 minutes
19671031	20040410	 Ada, OK	 circle	12 seconds
20041018	20041018	 Ada, OK	 triangle	3 Min
19560517	20080328	 Ada, OK	 circle	20 Sec
19950619	19950620	 Adair County, IA		5 hrs.
20070102	20070103	 Adair, IA	 circle	45 seconds
20071112	20071113	 Adairsville, GA	 circle	1 hour +
20100101	20100216	 Adairsville, GA	 rectangle	
20010205	20010207	 Adairville, KY	 triangle	15 minutes
19860601	20080913	 Adak, AK	 light	3 min
20050514	20080324	 Adams County, OH	 flash	5 sec
0	20000824	 Adams, NY	 light	1 hour
20050920	20051007	 Adams, NY	 disk	10 min
20011026	20011030	 Adams, TN	 disk	2 minutes
20010719	20010813	 Adams, WI	 light	30 sec
20021113	20021113	 Adams, WI	 egg	5 minutes
20080621	20080621	 Adams, WI	 triangle	10 seconds
20090105	20090105	 Adams, WI	 triangle	10 min
20080609	20080610	 Adamsville, AL	 sphere	2 minutes
20050201	20050201	 Adamsville, OH	 formation	25minutes+
20050201	20050201	 Adamsville, OH	 formation	15 min+
20050201	20050201	 Adamsville, OH	 formation	25minutes+
19950825	19950824	 Adamsville, PA		10 sec.
20080423	20080424	 Addison, AL	 disk	Less than 5 min.
20000713	20000712	 Addison, NY	 circle	15 min
20080814	20080814	 Addison, PA	 disk	10 seconds
19950604	19950605	 Addison, TX		
19991114	19991114	 Addison, TX	 triangle	5 seconds
20020717	20020726	 Addison, TX	 other	1 minute
20061115	20061118	 Addison, TX	 teardrop	5 minutes
20100703	20100707	 Addison, TX	 fireball	2-3 minutes
19990421	20040108	 Addy, WA	 fireball	
20060709	20060709	 Addy, WA	 unknown	10 min
20080117	20080117	 Adelantlo, CA	 triangle	30 min
20031108	20031116	 Adelanto, CA	 other	1 minute
20070314	20070314	 Adelanto, CA	 unknown	ONGOING
19840630	20081024	 Adelanto, CA	 sphere	10 min
20011014	20011014	 Adkins, TX	 diamond	02:00
20060528	20060530	 Adkins, TX	 sphere	1 min
19990212	20020303	 Adrian, MI	 oval	a few seckonds
20030916	20030916	 Adrian, MI	 oval	00:01
20040604	20040605	 Adrian, MI	 circle	1 hour
20041210	20041216	 Adrian, MI	 triangle	2 min
20061101	20061102	 Adrian, MI	 triangle	3 minutes
20090426	20090426	 Adrian, MI	 triangle	4 to 5 mins.
20100706	20100712	 Adrian, MI	 light	30 sec
20040324	20040325	 Advance, NC	 unknown	2-3 minutes
20080130	20080201	 Advance, NC	 other	approx=3-4hrs
20090605	20090605	 Advance, NC	 sphere	20 seconds
20031121	20031122	 Afton, MI	 light	20seconds
20070311	20070311	 Afton, MI	 light	10 seconds
20090316	20090317	 Afton, MI	 circle	20 sec
20060730	20060808	 Afton, OK	 sphere	15 seconds
20060317	20060318	 Afton, VA	 oval	8 minutes
20061124	20061123	 Afton, VA		1 hour
19990312	19991029	 Agawam, MA	 triangle	5minutes
20010616	20010616	 Agawam, MA	 teardrop	90 sec
19820601	20020701	 Agawam, MA	 disk	2min
19820615	20030624	 Agawam, MA	 sphere	2min
19980928	20030917	 Agawam, MA	 oval	2 MIN
20051108	20051125	 Agawam, MA	 light	2 seconds
20001026	20001102	 Agency, MO	 other	1 Minute
20041101	20041130	 Agoura Hills, CA	 light	1 minute
20050209	20050210	 Agoura Hills, CA	 sphere	30 seconds
20060314	20060315	 Agoura Hills, CA	 formation	10 seconds
20070911	20070911	 Agoura Hills, CA	 disk	5 minutes
20080622	20080622	 Agoura Hills, CA	 light	7-10 minutes
20010913	20050311	 Agua Dulce, CA	 light	45-50sec
20051222	20051223	 Agua Dulce, CA	 egg	3 seconds
19970806	19980228	 Aguila, AZ	 triangle	15 minutes
20000315	20010216	 Aguilar, CO	 rectangle	10 minutes
20020806	20020809	 Ahwahnee, CA	 light	4 min
19760901	20030118	 Ahwahnee, CA	 fireball	2 minutes
20051108	20051109	 Ahwatukee, AZ	 fireball	1 sec
20041207	20041216	 Aiea, HI	 circle	2mins
20030110	20030110	 Aiken, SC	 unknown	30 min.
19670630	20031202	 Aiken, SC	 oval	3 minutes
20041118	20041119	 Aiken, SC	 circle	"2 min&apos;s"
20041118	20041119	 Aiken, SC	 cylinder	2 Minutes
20071109	20071109	 Aiken, SC	 cigar	15 minutes
19741115	20080116	 Aiken, SC	 changing	60 seconds
20080801	20080801	 Aiken, SC	 sphere	10 SECONDS
20100413	20100414	 Aiken, SC	 triangle	30 seconds
20040320	20040319	 Ainsworth, NE	 light	2-3 seconds
19951215	20070303	 Ainsworth, NE	 light	30 minutes
20070818	20070818	 Ainsworth, NE	 triangle	2 seconds
20080925	20081107	 Ainsworth, NE	 triangle	30 seconds
20010830	20010903	 Airway Heights, WA	 circle	10 minutes
20030710	20100204	 Airway Heights, WA	 sphere	45 minutes
20020810	20041030	 Aitkin, MN	 formation	10 sec.
20020817	20020824	 Ajo, AZ	 unknown	2.5hrs
20061130	20061130	 Ajo, AZ	 light	2 horas
20061130	20061211	 Ajo, AZ	 light	15 minutes
20090916	20090917	 Ajo, AZ	 light	15-30 mins
20061130	20061209	 Ajo, OR	 light	2 hours
19990731	20040517	 Akeley, MN	 triangle	32 minutes
20040730	20041205	 Akeley, MN	 triangle	30 minutes
19750218	19990306	 Akin, IL	 triangle	2 hrs
19990820	20021022	 Akron, MI	 light	15 min.
19981111	19981224	 Akron, OH	 fireball	90 seconds
19760925	20001129	 Akron, OH	 light	15 mins
19880404	20010314	 Akron, OH	 light	30 seconds
19680615	20010201	 Akron, OH	 disk	3 minutes
20010725	20010816	 Akron, OH	 sphere	3-4 mins
20011103	20011104	 Akron, OH	 changing	3 hours
20020703	20020805	 Akron, OH	 oval	20 seconds
19970615	20030220	 Akron, OH	 disk	1-2 hours
20030827	20030903	 Akron, OH	 circle	20 seconds
20040627	20041009	 Akron, OH	 other	2 hours
20041108	20041108	 Akron, OH	 disk	.60 SECONDS
19771005	20050224	 Akron, OH	 cylinder	30 min
20060404	20060404	 Akron, OH	 fireball	4 min
20070307	20070307	 Akron, OH	 formation	25 seconds
20070916	20070917	 Akron, OH	 light	two minutes
20080414	20080414	 Akron, OH	 sphere	4 secs
20080804	20080804	 Akron, OH	 diamond	all night
19560606	20090527	 Akron, OH	 other	30 seconds + -
20090801	20090802	 Akron, OH	 fireball	6 minutes
20090909	20091115	 Akron, OH	 changing	30 to 40 minutes
20001015	20030309	 Alabama, AL	 sphere	Aproxx. 5 secs
19990125	19990126	 Alabaster, AL	 fireball	10-15 min
20000419	20000428	 Alabaster, AL	 egg	1 minute
